"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"elap",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Programmation, Prévision, PyTorch, Python, Rigueur, TensorFlow, équipe",NA,75
"elis",1,NA,NA,"Anglais, Communication, Reporting, Tableau, équipe",NA,92
"elsys design",1,NA,NA,"Base de donnée, Collaboration, Python, équipe",NA,35
"emerton group",3,NA,NA,"AWS, Azure, Business Acumen, Communication, Communication Skills, English, Excel, French, Git, Google Cloud, Optimization, Programming, Python, SQL, Statistical Modeling, Statistics",NA,75
"endress & hauser france",1,NA,NA,"Français, Git, Optimisation, Power BI, Reporting, équipe",NA,68
"endrix",1,"BEP, CAP, Banque, Assurance, Finance",NA,"Collaboration, Communication, Optimisation, équipe",NA,69
"enedis",1,NA,NA,"Dataviz, Rapport, Tableau, équipe",NA,69
"engie",10,"Secteur Energie, Environnement",0,"Python",NA,92
"engie solutions",1,"Secteur Energie, Environnement",0,"Collaboration, Excel, Power BI, Reporting, Tableau, équipe",NA,93
"equancy",1,NA,NA,"Deep Learning",NA,75
"equans",5,"BTP, Secteur Energie, Environnement",1,"Git, équipe",60000,69
"equativ",4,"Secteur informatique, ESN",NA,"Deep Learning, Excel, Python",NA,75
"eramet",1,NA,NA,"Anglais, Azure, Curiosité, Excel, Français, Gestion de Projets, Git, Python, Rapport, Rigueur, SQL, Statistique, TensorFlow, équipe",NA,78
"ergoss logiciels",7,NA,NA,"Autonome, Autonôme, Programmation, Rapport, équipe",NA,NA
"esprit rh",1,"Services aux Entreprises",1,"Anglais, Optimisation, équipe",NA,31
"eureden",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Git, Programmation, Python, SQL, Statistique, Tableau, modélisation, équipe",NA,29
"euro information",2,NA,NA,"Anglais, Autonome, Autonôme, Deep Learning, Python, équipe",50000,59
"euro-information developpements",6,"Banque, Assurance, Finance",NA,"équipe",50000,67
"eurofins",2,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"Communication, Excel",NA,2
"europcar mobility group",2,"Transport, Logistique",NA,"Communication, Preprocessing, Reporting",NA,75
"european camping group",1,NA,NA,"Anglais, Communication, Excel, Français, Git, Optimisation, Power BI, Programmation, Rapport, SQL, Statistique, Tableau, équipe",NA,34
"evaneos",13,NA,3,"Autonome, Autonôme, Excel, Git, Rapport, Tableau, équipe",NA,NA
"eviden",5,"Secteur informatique, ESN",7,"SQL",NA,33
"evoteo",21,NA,3,"Python, Rigueur, SQL, Tableau, équipe",50333.3333333333,NA
"evoteo consulting",4,"Services aux Entreprises",1,"AWS, Python, Rapport, SQL, Spark, Tableau, équipe",50000,69
"evs professionnel",15,NA,3,"Bases de donnée, Collaboration, Excel, Git, Reporting, SQL, Statistique, Tableau, équipe",NA,69
"exakis nelite",1,"Secteur informatique, ESN",1,"Azure, Curiosité, Power BI, équipe",NA,31
"excelcio",1,NA,NA,"Data Visualization, Excel, Power BI, Proactif, SQL, Tableau, équipe",NA,75
"exotec",4,"Industrie high-tech, Telecom",0,"Collaboration, Python",NA,59
"expectra",2,"Banque, Assurance, Finance",1,"Optimisation",NA,44
"expleo",10,"Secteur informatique, ESN",7,"équipe",NA,31
"externatic",2,"Services aux Entreprises",1,"Rapport, Tableau, équipe",50000,44
"externatic recrutement",1,"Services aux Entreprises",NA,NA,NA,44
"extia",12,"Secteur informatique, ESN",NA,"équipe",NA,34
"ey",8,"Secteur informatique, ESN",3.5,"Excel, Git, équipe",NA,92
"eyetech solutions",1,NA,NA,"AWS, Azure, Collaboration, Matplotlib, Prévision, Python, Seaborn, Statistique, Tableau, Visualisation de donnée, modélisation, équipe",60000,75
"fabdev",1,NA,NA,"AWS, Git, Google Cloud, Python, Seaborn, TensorFlow",NA,75
"fairly made",1,NA,3,"Autonome, Autonôme, Base de donnée, Git, Power BI, Proactif, Python, Rigueur, SQL, équipe",NA,NA
"fareva it apps",2,"Industrie Manufacturière",7,"Reporting, collecte de données, équipe",NA,26
"federation francaise de rugby",1,NA,NA,"Bases de donnée, Français, Proactif, Programmation, Python, Reporting, Rigueur, Statistique, modélisation, équipe",37700,91
"fidal",1,"Secteur informatique, ESN",0,"Anglais, Communication, Curiosité, Git, Intelligence artificielle, Rigueur, équipe",NA,75
"fiderim deux savoie",1,"Services aux Entreprises",1,"Tableau",40000,74
"filhet-allard",1,NA,NA,"Optimisation, Reporting, Statistique, équipe",NA,NA
"finance people",1,"Services aux Entreprises",NA,"Excel, Power BI, Programmation, PyTorch, Python, Rapport, Statistique, TensorFlow, équipe",50000,78
"financepeople",1,NA,NA,"Excel, Power BI, Programmation, PyTorch, Python, Rapport, Statistique, TensorFlow, équipe",NA,78
"findways",1,NA,NA,"Base de donnée, Intelligence artificielle, Programmation, collecte de données, équipe",NA,92
"flyinstinct",1,NA,NA,"Anglais, Français, Intelligence artificielle, Python, Statistique, équipe",NA,75
"fnac darty",7,"Distribution, Commerce de gros",0,"Git",NA,94
"fondation pour la recherche medicale",1,NA,NA,"Azure, Base de donnée, Bases de donnée, Communication, Curiosité, Excel, Français, Git, Power BI, Reporting, Rigueur, SQL, Statistique, équipe",NA,86
"foodles",1,NA,NA,"Collaboration, Communication, Git, Optimisation, Prévision, Python, équipe",NA,92
"fortuneo",1,"Banque, Assurance, Finance",NA,"AWS, équipe",NA,29
"francaise des jeux",1,NA,NA,"Curiosité, Français, Git, Hadoop, Prévision, Python, Reporting, Rigueur, SQL, Spark, Statistique, modélisation, équipe",NA,92
"franfinance",1,NA,NA,"Bases de donnée, Français, Power BI, Programmation, Python, Reporting, Statistique",NA,92
"free",6,"Média, Internet, Communication",0,"équipe",48000,75
"free2move",1,NA,NA,"Autonome, Autonôme, Base de donnée, Bases de donnée, Collaboration, Excel, Git, Power BI, Python, SQL, Spark, Tableau, équipe",NA,75
"fretbay",1,NA,NA,"Autonome, Autonôme, Base de donnée, C++, Communication, Curiosité, Excel, Git, Proactif, Programmation, Prévision, Python, Reporting, SQL, Statistique, équipe",NA,75
"galec - mouvement e.leclerc",28,NA,5.5,"équipe",NA,NA
"galec services centraux",6,"Distribution, Commerce de gros",1,"équipe",NA,94
"galeries lafayette",2,"Distribution, Commerce de gros",0,"Deep Learning, Intelligence artificielle, équipe",NA,75
"gameloft",2,"Secteur informatique, ESN",0,"Autonomous, Communication, English, Feature Engineering, French, Git, Matplotlib, Python, SQL, Seaborn, Team Player",NA,75
"gan assurances",1,NA,NA,"Collaboration, Créativité, Curiosité, Dataviz, Excel, Français, Python, Rigueur, SQL, Statistique, Tableau, équipe",NA,92
"gemy automobiles",2,NA,NA,"Python, Statistique, équipe",NA,NA
"generali france",6,NA,NA,"Python",NA,93
"generali vie",2,"Banque, Assurance, Finance",0,"Dataviz, Git, Hadoop, Power BI, Python, Reporting, SQL, Tableau, modélisation",NA,93
"generation",1,NA,NA,"Excel, Python, Rapport, Statistique, Tableau, VBA, équipe",NA,29
"geodis",1,"Transport, Logistique",1,"modélisation, équipe",NA,73
"gerflor",1,NA,NA,"Anglais, Base de donnée, Collaboration, Créativité, Excel, Français, Intelligence artificielle, Reporting, Rigueur, SQL, Statistique, équipe",NA,69
"geser best",1,NA,NA,"Anglais, Bases de donnée, C++, Dataviz, Power BI, Python, Reporting, Résolution de Problèmes, SQL, Statistique, équipe",38000,33
"ghu paris psychiatrie et neurosciences",1,NA,NA,"Anglais, Bases de donnée, Programmation, Python, SQL, Statistique, équipe",NA,75
"gip pulsy",1,NA,NA,"Base de donnée, Bases de donnée, Communication, Programmation, Reporting, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",45000,67
"grant thornton",1,"Secteur informatique, ESN",0,"Python, SQL, équipe",NA,92
"grant thornton france",3,NA,NA,"Anglais, Excel, Power BI, SQL, équipe",NA,92
"gresb",1,NA,NA,"Collaboration, Database, English, Excel, Python, SQL",NA,75
"groupagora",7,"Secteur informatique, ESN",2.66666666666667,"Intelligence artificielle, modélisation, équipe",55000,64
"groupama",12,"Banque, Assurance, Finance",0.5,"équipe",NA,75
"groupe adp",4,"Transport, Logistique",0,"équipe",NA,94
"groupe alpha",2,NA,NA,"Bases de donnée, Optimisation, Rapport, SQL, Tableau, modélisation, équipe",NA,75
"groupe bayard presse",1,NA,NA,"Adaptabilité, Autonome, Autonôme, Git, Statistique, Tableau, équipe",NA,92
"groupe beaumanoir (siege)",1,NA,NA,"Autonome, Autonôme, Git, Prévision, Python, SQL, Spark, Statistique, Volonté d'Apprendre, modélisation, équipe",NA,35
"groupe bpce",5,NA,NA,"SQL",NA,33
"groupe creative",2,"Secteur informatique, ESN",1,"Git, Programming, Python, Reporting, SQL, Spark, équipe",50000,59
"groupe demeter",1,NA,NA,"Anglais, Excel, Français, Gestion du Temps, Git, Python, Spark, Statistique, modélisation, équipe",70000,92
"groupe dubreuil",2,"Distribution, Commerce de gros",0,"Deep Learning",NA,85
"groupe kering",4,NA,NA,"English, Excel",NA,75
"groupe le duff",1,NA,NA,"Autonome, Autonôme, Azure, Git, Power BI, Python, SQL, Statistique, modélisation, équipe",NA,35
"groupe limagrain",1,NA,NA,"Anglais, Curiosité, Excel, Git, Proactive, Programmation, Prévision, PyTorch, Python, Rigueur, Statistique, modélisation, équipe",NA,63
"groupe m6",1,NA,NA,"AWS, Collaboration, Git, Programmation, Python, R Studio, Rapport, SQL, Statistique, Tableau, équipe",NA,92
"groupe ogf",2,"BEP, CAP, Services aux Personnes, Particuliers",NA,"Azure, Bases de donnée, Power BI, SQL, modélisation, équipe",61000,13
"groupe ortec",2,"Industrie Pétrolière, Pétrochimie, Secteur Energie, Environnement",0,"Bases de donnée, NLP, équipe",NA,92
"groupe p",1,"Industrie Auto, Meca, Navale",0,"Collaboration, Communication, NLP, Python, collecte de données, équipe",NA,78
"groupe roullier",1,"Industrie Agro-alimentaire",0,"Optimisation, Reporting, équipe",NA,35
"groupe seb",2,"Distribution, Commerce de gros",0,"Autonome, Autonôme, Excel, Statistique, équipe",NA,53
"groupe vilavi",1,"Banque, Assurance, Finance",1,"Git, Statistique, modélisation",NA,93
"groupement d'interet public pulsy",1,NA,NA,"Base de donnée, Bases de donnée, Communication, Programmation, Reporting, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",NA,67
"groupement les mousquetaires",4,"Distribution, Commerce de gros",0,"équipe",NA,92
"groupm",1,"Média, Internet, Communication",NA,"Anglais, Base de donnée, Bases de donnée, Collaboration, Communication, Excel, Git, Optimisation, Power BI, Python, R Studio, Rapport, SQL, modélisation, équipe",NA,75
"gueudet",1,NA,NA,"Bases de donnée, Git, SQL, Statistique, équipe",NA,80
"gueudet 1880",1,"Industrie Auto, Meca, Navale",NA,NA,NA,80
"hager group",1,NA,NA,"Anglais, Python, Rigueur, SQL, Statistique, Tableau",NA,33
"hardis group",7,"Secteur informatique, ESN",4.2,"équipe",NA,38
"harmonie mutuelle",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Git, Prévision, Résolution de Problèmes, SQL, Statistique, Tableau, modélisation, équipe",NA,35
"harry hope",3,"Services aux Entreprises",1,"équipe",51666.6666666667,21
"havas group",2,"Média, Internet, Communication",7,"Bases de donnée, Excel, Rigueur, équipe",NA,92
"havas media",1,NA,NA,"Collaboration, Communication, Database, English, Excel, French, Git, Reporting, data collection",NA,75
"hays",9,"Secteur informatique, ESN",0.888888888888889,"équipe, NA",49750,31
"health data hub",7,NA,NA,"Deep Learning",NA,NA
"hello watt",1,"Secteur Energie, Environnement",0,"Rapport, équipe",NA,75
"hellofresh",2,"Distribution, Commerce de gros",1,"Python, SQL",NA,75
"himydata",2,NA,NA,"Collaboration, Git, Programmation, Python, SQL, Statistique, équipe",67798,6
"hippy sas - indienov",1,NA,NA,"Anglais, Collaboration, Communication, Git, Hadoop, Intelligence artificielle, Python, SQL, Spark, équipe",NA,13
"hipto",7,NA,NA,"AWS, Curiosité, Optimisation, Programmation, Python, SQL, Tableau, équipe",NA,NA
"hitachi solutions",1,NA,NA,"Azure, Collaboration, Communication, Creativity, Excel, Git, Power BI, SQL, Tableau, équipe",NA,75
"holcim",2,NA,NA,"Data Visualization, Programming, Python",NA,38
"hopital cavale blanche",1,NA,NA,"Deep Learning",NA,29
"hopital national des quinze-vingts",2,NA,NA,"Collaboration, Rapport",NA,75
"hove",7,NA,NA,"Anglais, Français, Power BI, Rapport, SQL, Tableau, équipe",NA,NA
"hp",1,NA,NA,"English, Excel, Forecasting, Power BI, Python, Reporting, SQL, Statistical Modeling",NA,38
"hr team",3,"Secteur informatique, ESN",1,"Python, Spark, équipe",48000,44
"hsbc",2,"Banque, Assurance, Finance",NA,"Anglais, Autonome, Autonôme, Excel, Python, SQL, équipe",NA,92
"iadvize",1,NA,NA,"Anglais, Autonome, Autonôme, Communication, Créativité, Excel, Français, French, Intelligence artificielle, Programmation, Python, SQL, Statistique, Tableau, Visualisation de donnée, équipe",NA,44
"ibm",1,NA,NA,"Anglais, Collaboration, Curiosité, Français, équipe",NA,92
"icm institut du cerveau",1,NA,NA,"Collaboration, Communication, Database, Programmation, Programming, Python, Statistics, Version Control",NA,75
"ikigai",1,NA,NA,"Power BI, Programmation, Reporting, Tableau, équipe",43000,69
"iliad",3,"Industrie high-tech, Telecom, Média, Internet, Communication",0,"équipe",NA,75
"imt nord europe",1,"Enseignement, Formation",0,"Deep Learning",NA,59
"in extenso",2,"Secteur informatique, ESN",0.5,"AWS, Azure, Git, Power BI, Python, SQL, Tableau, équipe",NA,75
"in'li",1,NA,NA,"Power BI, Project Management, Rapport, SQL, Statistique, équipe",NA,92
"ineat",2,"Secteur informatique, ESN",NA,"Git, Power BI, SQL, modélisation, équipe",NA,59
"ineris",4,"Secteur Energie, Environnement",1,"French",NA,60
"inetum",31,"Secteur informatique, ESN",7,"équipe",NA,93
"inex bet",1,NA,NA,"Anglais, Base de donnée, Communication, Excel, Programmation, PyTorch, Python, Rigueur, Tableau, TensorFlow",15600,93
"infogene",10,"Secteur informatique, ESN",1,"équipe",63000,92
"infopro digital",1,NA,NA,"Autonome, Autonôme, Base de donnée, Excel, Français, Git, Programmation, Reporting, Statistique, équipe",NA,92
"informatis-ts",3,NA,NA,"Base de donnée, SQL",NA,10
"infotel",4,"Secteur informatique, ESN",7,"Hadoop, SQL",60000,29
"ingeniance",2,"Secteur informatique, ESN",NA,"AWS, Azure, équipe",NA,92
"innova solutions",1,"Secteur informatique, ESN",7,"Collaboration, Excel, Python, SQL, modélisation, équipe",NA,6
"innovela",26,NA,2,"Autonome, Autonôme, Bases de donnée, Hadoop, Programmation, Python, Spark, équipe",72500,NA
"inpost",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Excel, Power BI, Python, Reporting, SQL, équipe",NA,59
"inrae",1,NA,NA,"Base de donnée, Git, Intelligence artificielle, modélisation, équipe",NA,44
"inria",3,"Service public des collectivités territoriales, Service public d'état, Service public autres",NA,"Collaboration, Python, équipe",NA,13
"insitoo",2,NA,NA,"équipe",NA,59
"institut du cerveau",1,NA,NA,"Communication, Communication Skills, Excel, Programming, Python",NA,75
"institut du cerveau et de la moelle epiniere",1,NA,NA,"Collaboration, Communication, Database, Programming, Python, Statistics, Version Control",NA,75
"inventing for life",1,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"AWS, Collaboration, Créativité, Data Visualization, Database, Git, Optimisation, Power BI, Programming, Project Management, Python, Statistics, Statistique, équipe",NA,75
"invivo digital factory",2,"Industrie Agro-alimentaire",7,"Collaboration, Git, SQL, modélisation, équipe",NA,92
"invivoo",1,NA,NA,"Dataviz, Excel, Optimisation, Python, SQL, Tableau, VBA, équipe",70000,75
"ipsen pharma (sas)",1,NA,NA,"Data Visualization, Natural Language Processing, Programming, Python, Team Player",NA,92
"irt jules verne",2,"Industrie Manufacturière",NA,"Intelligence artificielle, équipe",NA,44
"it&m stats",1,"Secteur informatique, ESN",NA,"Anglais, Autonome, Autonôme, Statistique, équipe",NA,75
"itnovem",1,"Secteur informatique, ESN",NA,"AWS, Azure, Git, Proactive, équipe",NA,93
"itw",1,NA,NA,"Anglais, Bases de donnée, Excel, Power BI, Programmation, Python, Reporting, SQL, Statistique, VBA, équipe",NA,26
"ivalua",1,NA,NA,"Deep Learning",NA,91
"iziwork",3,"Services aux Entreprises",NA,"Anglais, Excel, Python, SQL",48333.3333333333,44
"jcdecaux",6,"Média, Internet, Communication, Industrie Manufacturière",1.75,"équipe",NA,92
"job staging",2,"Industrie high-tech, Telecom, Secteur informatique, ESN",7,"Autonome, Autonôme, Collaboration, Git, Optimisation, Power BI, Rigueur, SQL, modélisation, équipe",NA,56
"jobmania",1,"Services aux Entreprises, Média, Internet, Communication",1,"Curiosité, Git, Rapport, équipe",NA,75
"johnson & johnson",1,NA,NA,"Deep Learning",NA,92
"k-ryole",2,"Industrie Manufacturière, Distribution, Commerce de gros",0,"Tableau, équipe",NA,75
"kaino",2,NA,NA,"AWS, Collaboration, Proactif, Programmation, Python, équipe",70000,75
"kaino consulting",1,NA,NA,"AWS, Collaboration, Proactif, Python, équipe",NA,75
"kanbios",12,NA,3.5,"Anglais, Excel, équipe",NA,NA
"karos mobility",7,NA,3,"Collaboration, Communication, Excel, Python, R Studio, Rapport, SQL, Statistique, équipe",NA,NA
"kelkoo",1,"Secteur informatique, ESN",NA,"Deep Learning",NA,38
"kelly services",1,"Industrie Pharmaceutique, Biotechn., Chimie",1,"Anglais, Collaboration, Communication, Gestion de Projets, Git, Python, Rapport, équipe",NA,91
"keolis tours",1,NA,NA,"Collaboration, Curiosité, Programmation, Tableau, équipe",NA,37
"kering",1,"Distribution, Commerce de gros",NA,"Curious, Database, English, Excel, Forecasting, French, Proactive, Python, SQL, Statistics",NA,75
"kicklox",13,NA,NA,"Français",72000,78
"klarys",1,NA,NA,"Deep Learning",NA,35
"klesia",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Power BI, Prévision, Python, Rapport, Rigueur, SQL, Statistique, Tableau, VBA, modélisation, équipe",NA,75
"klint consulting",7,NA,5,"Reporting, équipe",75000,NA
"know your people",1,NA,NA,"Autonome, Autonôme, Git, Programmation, Python, Rapport, Reporting, SQL, Statistique, modélisation",50000,59
"kpmg",15,"Secteur informatique, ESN",0.428571428571429,"équipe",NA,92
"kroissance",1,NA,NA,"Azure, Communication, Français, Git, Power BI, Python, Rigueur, SQL, équipe",NA,31
"kumo",1,NA,NA,"Base de donnée, Excel, Programmation, Reporting, Tableau, VBA, équipe",9600,92
"kuribay",1,"Industrie Auto, Meca, Navale",1,"Collaboration, Optimisation, équipe",NA,69
"kyriba",2,"Banque, Assurance, Finance",NA,"Artificial intelligence, Communication, Communication Skills, English, Python, Statistics",NA,92
"l'opcommerce",1,NA,NA,"Autonome, Autonôme, Azure, Dataviz, Git, Power BI, Python, Rapport, Reporting, SQL, Statistique, équipe",50000,75
"l'organisation mondiale de la sante animale (oie)",1,NA,NA,"Collaboration, Database, Database Management, English, Excel, French, Git, Proactive, Programming, Project Management, Python, Reporting, SQL, Team Player, data collection",NA,75
"la banque postale",5,NA,NA,"Deep Learning",NA,75
"la bci",1,NA,NA,"Base de donnée, Communication, Créativité, Curiosité, Excel, Power BI, Programmation, Python, Rapport, Rigueur, SQL, Serieux, Statistique, Tableau, modélisation, équipe",NA,NA
"la belle iloise",1,NA,NA,"Base de donnée, Bases de donnée, Excel, Git, Optimisation, Prévision, Reporting, Rigueur, SQL, Statistique, Tableau, équipe",NA,56
"la poste groupe",6,"Transport, Logistique",1,"équipe",NA,93
"la releve",7,NA,4,"Communication, Git, Statistique, modélisation, équipe",70000,NA
"la secu recrute",6,NA,NA,"Statistique",54200,75
"lacoste",1,"Distribution, Commerce de gros",NA,NA,NA,75
"lallemand",1,NA,NA,"Communication, Excel, Git, Programmation, Statistique, Tableau, équipe",59783,15
"langton howarth",1,NA,NA,"Autonomous, Communication, English, Python",NA,75
"latecoere",1,NA,NA,"Excel, Optimisation, Programmation, Python, SQL, Spark, Statistique, Tableau, modélisation, équipe",NA,31
"lcl",6,"Banque, Assurance, Finance",0.333333333333333,"équipe",NA,94
"le bon candidat recrutement",1,"Services aux Entreprises",NA,"Anglais, Communication, Excel, Intelligence artificielle, équipe",50000,94
"le groupe gcf",1,NA,NA,"Anglais, Bases de donnée, Communication, Curiosité, Excel, Français, Reporting, Rigueur, Statistique, Tableau, équipe",NA,67
"le groupe la poste",1,NA,NA,"Anglais, Français, équipe",NA,75
"le telegramme",4,"Média, Internet, Communication",1,"Collaboration, équipe",45000,29
"lefebvre sarrut",1,NA,NA,"Excel, Français, Python, Rigueur, Statistique, équipe",NA,92
"lenovo france",1,"Industrie high-tech, Telecom",NA,"Git",NA,40
"lesaffre",3,"Industrie Agro-alimentaire",NA,"Deep Learning",NA,59
"lhh recruitment solutions",3,"Services aux Entreprises",7,"Anglais",46000,33
"liberty rider",44,NA,NA,"Autonome, Autonôme, Communication, Power BI, Python, Rapport, SQL, Statistique, Tableau, équipe",NA,31
"licorne society",2,NA,NA,"AWS, Azure, Bases de donnée, Git, Optimisation, Power BI, Prévision, Python, Rapport, SQL, Tableau, équipe, NA",NA,75
"liebherr-aerospace toulouse",2,"Industrie Aéronautique, Aérospatial",1,"Git, Optimisation, équipe",NA,31
"limagrain",1,"Industrie Agro-alimentaire",1,"Git, Prévision, Rigueur, Statistique, équipe",NA,63
"lincoln",1,NA,NA,"Deep Learning",NA,69
"linkedin job wrapping",1,NA,NA,"AWS, Azure, Base de donnée, Collaboration, Git, Google Cloud, Programmation, Python, SQL, Statistique, Tableau, Visualisation de donnée, collecte de données, équipe",NA,75
"lity",1,NA,NA,"Intelligence artificielle, Python, Statistique, équipe",1e+05,75
"livingpackets",21,NA,3,"AWS, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Git, Optimisation, Programmation, Python, SQL, Spark, Tableau, équipe",46666.6666666667,NA
"lne",1,NA,NA,"Anglais, Autonome, Autonôme, Bases de donnée, C++, Curiosité, Français, Intelligence artificielle, Programmation, Python, équipe",NA,75
"loc maria biscuits",2,"Industrie Agro-alimentaire",7,"Collaboration, Power BI, Reporting, modélisation, équipe",NA,22
"louvre hotels",1,NA,NA,"Anglais, Power BI, Rapport, Tableau, équipe",NA,92
"lr technologies nord",2,"Services aux Entreprises, Secteur informatique, ESN",1,"Collaboration, Git, Google Cloud, Power BI, SQL, modélisation, équipe",45000,59
"lsa courtage",44,NA,NA,"Autonome, Autonôme, Base de donnée, Communication, Curiosité, Data Visualization, Git, Google Cloud, Programmation, Rapport, Rigueur, SQL, Statistique, Tableau, équipe",NA,92
"lydia solutions",44,NA,NA,"Communication, Communication Skills, Data Visualization, English, Excel, French, Proactive, Reporting, SQL, Team Player",NA,75
"lynx rh",1,"Services aux Entreprises",NA,"Autonome, Autonôme, Git, Tableau, équipe",NA,49
"maestria",2,"Services aux Entreprises",1,"Azure, Intelligence artificielle, Programming, Python, Spark, équipe",48000,6
"magasins vert - point vert",1,"Distribution, Commerce de gros",0,"Git, Tableau, équipe",NA,29
"maif",2,NA,NA,"SQL, équipe",NA,79
"malakoff humanis",4,NA,NA,"Python, Rigueur, équipe",NA,75
"malt",1,"Services aux Entreprises",0,"Attention to Detail, Communication, Curious, Data Visualization, Database, English, Proactive, Python, SQL",NA,75
"managing",2,"Services aux Entreprises",NA,"Collaboration, Excel, Tableau, Visualisation de donnée, équipe",NA,67
"mane",2,"Industrie Pétrolière, Pétrochimie",NA,"AWS, Anglais, Autonome, Autonôme, Bases de donnée, Excel, Git, Programmation, PyTorch, Python, SQL, Statistique, TensorFlow, modélisation",NA,6
"manutan",2,"Média, Internet, Communication",NA,"Deep Learning, Optimisation, équipe",NA,95
"marcel robbez masson",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Collaboration, Programmation, Reporting, Rigueur, SQL, Statistique",44400,34
"margo conseil",1,NA,NA,"Deep Learning",NA,75
"maser engineering",2,"Services aux Entreprises",1,NA,35000,31
