"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"matmut",2,"Banque, Assurance, Finance",1,"Deep Learning",NA,76
"mazars",1,NA,NA,"Autonome, Autonôme, Data Visualization, Excel, Intelligence artificielle, Programmation, Python, Rapport, SQL, Tableau, équipe",NA,75
"mazars.",2,"Secteur informatique, ESN",7,"AWS, Azure, Git, Tableau, équipe",NA,92
"mbda france",1,NA,NA,"Anglais, Programmation, Python, Visualisation de donnée, équipe",NA,18
"mbr partners",1,NA,NA,"Communication, Communication Skills, Database, Excel, Hadoop, Python, SQL, Spark, Tableau",NA,75
"mckinsey & company",2,NA,NA,"Deep Learning",NA,75
"meetic",1,"Média, Internet, Communication",NA,"Deep Learning",NA,75
"meilleurtaux",1,"Banque, Assurance, Finance, Média, Internet, Communication",NA,"Adaptabilité, Azure, Bases de donnée, Git, Optimisation, Python, Reporting, équipe",NA,75
"meritis",3,"Secteur informatique, ESN",NA,"Optimisation, Prévision, équipe",NA,75
"meta",2,NA,NA,"Deep Learning",NA,75
"metrixx",1,NA,NA,"Git, Optimisation, Reporting, Tableau",NA,69
"metyis",1,NA,NA,"Communication, Communication Skills, Data Visualization, English, French, Git, Power BI, Python, SQL, Tableau",NA,75
"mfg labs",44,NA,NA,"AWS, Anglais, Français, Hadoop, Programmation, Python, SQL, Spark, Statistique, Tableau, modélisation, équipe",NA,77
"mgen",1,NA,NA,"Bases de donnée, Collaboration, Dataviz, Excel, Power BI, Reporting, Rigueur, SQL, Statistique, Tableau, équipe",NA,75
"michael page",12,"Services aux Entreprises",0,"équipe",61400,92
"michelin",5,"Industrie Manufacturière",0,"équipe",17832,63
"million victories",7,NA,NA,"A/B Testing, Autonomous, Creativity, Database, English, Proactive, Programming, Python, SQL",NA,NA
"mirakl",5,"Média, Internet, Communication, Secteur informatique, ESN",NA,"Deep Learning",NA,75
"mirakl - labs",1,NA,NA,"Deep Learning",NA,33
"mobilize financial services",1,"Banque, Assurance, Finance, Industrie Auto, Meca, Navale",1,"Collaboration, Google Cloud, Reporting, Tableau, équipe",NA,93
"mon-marche.fr",1,NA,NA,"Autonome, Autonôme, Git, Reporting, SQL, Tableau, équipe",NA,69
"monabanq",1,NA,NA,"Excel, SQL, Statistique, Tableau",NA,59
"mondial relay",1,"Transport, Logistique",7,"AWS, Tableau",NA,59
"morgan philips executive search",2,"Industrie Pharmaceutique, Biotechn., Chimie",7,"Collaboration, Git, équipe",NA,92
"mosica",2,"Secteur informatique, ESN",1,"AWS, Hadoop, Programmation, Python, Spark, équipe",NA,44
"mp data",38,NA,2.5,"Deep Learning, Git, Python",13197.8823529412,92
"msd",2,NA,NA,"Collaboration, Créativité, équipe",NA,75
"mydral",5,"Secteur informatique, ESN",7,"Excel, Reporting, Tableau, équipe",60000,75
"nantes universite",1,NA,NA,"Anglais, Français, Rapport, équipe",41760,44
"natixis",2,NA,NA,"Collaboration, Deep Learning, English, Excel, Optimisation, équipe",NA,75
"nature et decouvertes",1,NA,NA,"Collaboration, Excel, Français, Git, Python, Statistique, Tableau, équipe",NA,78
"nava engineering",1,"Industrie Aéronautique, Aérospatial, Secteur informatique, ESN",7,"Hadoop, équipe",53000,31
"neo soft",1,NA,NA,"Bases de donnée, Excel, Git, Power BI, Programmation, Python, Rapport, SQL, Statistique, Tableau, modélisation, équipe",NA,75
"neoxia",2,"Secteur informatique, ESN",NA,"Deep Learning",NA,75
"nestle operational services worldwide",3,NA,NA,"Power BI, Rapport, équipe",NA,75
"nexteam group",1,NA,NA,"Autonome, Autonôme, Bases de donnée, SQL",NA,64
"nexton consulting fr",1,NA,NA,"Git, équipe",NA,59
"niji",1,NA,NA,"Anglais, Communication, Dataviz, Git, Optimisation, Power BI, Python, SQL, Spark, Tableau, équipe",NA,69
"nissan",1,"Industrie Auto, Meca, Navale",NA,"Communication, Communication Skills, Curious, Database, English, Excel, French",NA,78
"nodya group",4,"Secteur informatique, ESN",7,"équipe",68333.3333333333,13
"norgay it & digital services",6,"Secteur informatique, ESN",1,"modélisation",48400,44
"nova consulting",1,NA,NA,"Base de donnée, Bases de donnée, Excel, Optimisation, Python, SQL, Statistique, modélisation, équipe",NA,75
"novencia",4,NA,NA,"Git, Intelligence artificielle",NA,75
"novo nordisk",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Excel, Git, Intelligence artificielle, Optimisation, Programmation, Python, Résolution de Problèmes, SQL, Statistique, modélisation, équipe",NA,28
"numberly",4,"Média, Internet, Communication",NA,"Python, SQL",NA,75
"objectware",4,"Secteur informatique, ESN",1,"SQL, équipe",NA,44
"ocde",2,NA,NA,"Anglais, Collaboration, Excel, Français, Git, Power BI, Python, SQL, Statistique, VBA, Éthique et Intégrité, équipe",NA,75
"octo technology",1,NA,NA,"Deep Learning",NA,75
"octopus",3,"Secteur informatique, ESN",NA,"AWS, Python, équipe",NA,75
"ogf",1,NA,NA,"Azure, Base de donnée, Curiosité, Français, Python, SQL, Statistique, équipe",NA,75
"okaidi",1,NA,NA,"A/B Testing, Curiosité, Git, Optimisation, Rigueur, SQL, Statistique, équipe",50000,59
"omniciel",2,"Services aux Entreprises, Secteur informatique, ESN",1,"Dataviz, Rapport, Tableau, équipe",48000,13
"onepoint",10,"Secteur informatique, ESN",0,"Anglais, équipe",NA,75
"oney",1,NA,NA,"Git, Programmation, Python, SQL, Statistique, équipe",NA,59
"open",2,"Secteur informatique, ESN",NA,"AWS, Azure, Git, Python, Spark, équipe",NA,92
"opera conseil",1,NA,NA,"Deep Learning",NA,69
"oppbtp",2,"BTP",7,"Bases de donnée, Collaboration, Git, Intelligence artificielle, Optimisation, SQL, Spark, équipe",NA,92
"opteamis",1,NA,NA,"Base de donnée, Bases de donnée, Git, Google Cloud, NLP, Natural Language Processing, Programmation, Python, SQL, équipe",NA,75
"orange",3,"Industrie high-tech, Telecom",0,"Tableau, équipe",NA,33
"orange",4,"Secteur informatique, ESN",2.5,"équipe",NA,13
"orano",10,"Secteur Energie, Environnement",0.666666666666667,"Statistique, équipe",NA,26
"ornikar",1,NA,NA,"Communication, Français, Google Cloud, Optimisation, Python, SQL, Statistique, modélisation, équipe",NA,75
"ortec engineering",44,NA,NA,"équipe",NA,31
"orthogrid systems",2,"Secteur informatique, ESN",NA,"Deep Learning",NA,67
"ose engineering",7,NA,NA,"Autonome, Autonôme, Bases de donnée, Intelligence artificielle, Programmation, Python, Rapport, Statistique, modélisation, équipe",NA,NA
"otteo",2,"Secteur informatique, ESN",1,"Google Cloud, modélisation, équipe",52000,59
"ouest france",3,"Média, Internet, Communication",0,"équipe",NA,35
"ovhcloud",1,"Secteur informatique, ESN",NA,"Anglais, Excel, Optimisation, équipe",NA,59
"paie & rh solutions",1,NA,NA,"Reporting, SQL, VBA, équipe",NA,64
"papernest",46,NA,NA,"English, Français, SQL",NA,75
"paris-saclay center for data science",1,NA,NA,"Collaboration, Programming, Python",NA,91
"partnaire",1,"Services aux Entreprises",7,"Collaboration, Optimisation, Reporting, équipe",90000,45
"people way",1,NA,NA,"Anglais, Bases de donnée, Collaboration, Communication, Créativité, Excel, Français, Optimisation, Python, Rapport, Statistique, modélisation, équipe",NA,75
"pernod ricard",9,"Industrie Agro-alimentaire",NA,"Git",NA,75
"perse beauty",1,NA,NA,"Anglais, Autonome, Autonôme, Bases de donnée, Collaboration, Communication, NLP, Python, équipe",NA,75
"persuaders rh",2,"Services aux Entreprises",7,"équipe",NA,92
"philips",1,NA,NA,"Anglais, Excel, Python, modélisation, équipe",NA,75
"pictarine",1,NA,NA,"Anglais, Communication, Créativité, Excel, Power BI, Python, R Studio, Rapport, SQL, Tableau, Team Player, collecte de données, équipe",NA,NA
"pigment",1,"Secteur informatique, ESN",NA,"Deep Learning",NA,NA
"pixie services france",4,"Secteur informatique, ESN",7,"Bases de donnée, C++, Collaboration, Hadoop, Programmation, Python, SQL, Spark, Statistique, équipe",NA,59
"pmu",3,"Service public des collectivités territoriales",1,"AWS, Collaboration, équipe",NA,75
"polarys",2,NA,NA,"Deep Learning, English, Rigueur, équipe",NA,92
"polyconseil",4,"Secteur informatique, ESN",0,"AWS, Excel, Français, Git, Optimisation, Programmation, Python, modélisation, équipe",NA,75
"postuler",3,"Services aux Entreprises",3,"équipe",NA,57
"pricehubble",7,"Immobilier, Secteur informatique, ESN",NA,"English, Python, Spark",NA,75
"pro btp groupe",1,NA,NA,"Collaboration, Communication, Excel, Français, Prévision, Reporting, équipe",NA,94
"procter & gamble",1,NA,NA,"Autonomous, Big Data Technologies, Communication, Communication Skills, English, Excel, French",NA,75
"profil",8,NA,NA,"équipe",64633,75
"promovacances",1,"Restauration, Tourisme, Hôtellerie, Loisirs",1,"Français, équipe",NA,75
"prosol",1,NA,NA,"AWS, Apprentissage profond, Autonome, Autonôme, Azure, Bases de donnée, Collaboration, Excel, Matplotlib, Programmation, PyTorch, Python, Résolution de Problèmes, SQL, Spark, Statistique, TensorFlow, équipe",NA,69
"proxiel",3,"Secteur informatique, ESN",1,"Python, SQL",42000,13
"psa retail france",3,"Distribution, Commerce de gros",0,"Collaboration, Communication",NA,78
"publicis",1,NA,NA,"Azure, Git, Intelligence artificielle, Optimisation, Python, Spark, Statistique, modélisation",NA,75
"publicis sapient",1,"Média, Internet, Communication",NA,"Database, Git",NA,75
"pur",1,NA,NA,"Deep Learning",NA,75
"pwc",16,"Secteur informatique, ESN",NA,"équipe",NA,92
"qare",1,NA,NA,"Collaboration, Excel, Git, Python, Rapport, SQL, Statistique, Tableau, équipe",NA,75
"qima",1,NA,NA,"Anglais, Communication, Curiosité, Excel, Rapport, Reporting, Rigueur, Statistique",NA,NA
"quadra informatique",1,NA,NA,"Communication, Reporting, Rigueur, équipe",NA,67
"quantilia",1,NA,NA,"Collaboration, Database, English, Python",NA,6
"quantum surgical",2,NA,NA,"Deep Learning",NA,34
"rades",7,NA,3,"Anglais, Curiosité, Excel, équipe",50000,NA
"rakam",2,"Services aux Entreprises",NA,NA,NA,92
"rakuten",1,NA,NA,"Deep Learning",NA,75
"rd2 conseil",2,NA,NA,"Anglais, Collaboration, Intelligence artificielle, Programmation, Python, Statistique, équipe",NA,69
"reactis services",3,"Secteur informatique, ESN",1,"Reporting",55000,94
"reconomia",1,NA,NA,"Autonome, Autonôme, Collaboration, Programmation, Python, équipe",NA,59
"recrulab",1,NA,NA,"Autonome, Autonôme, Optimisation, Programmation, Reporting, Tableau, VBA, équipe",55000,69
"recrutons ensemble",1,NA,NA,"AWS, Autonome, Autonôme, Excel, Git, Programmation, équipe",NA,13
"renault group",7,NA,NA,"Anglais",NA,78
"repro-it",2,"Distribution, Commerce de gros, Secteur informatique, ESN",7,"Collaboration, équipe",36000,59
"rhodium group",1,NA,NA,"Collaboration, Data Visualization, Database, English, NLP, Natural Language Processing, Optimization, Python, SQL, Statistics, Tableau",NA,75
"roche",1,NA,NA,"Anglais, Autonome, Autonôme, Base de donnée, Français, Statistique",NA,75
"rsm",2,"Banque, Assurance, Finance",0,"Excel, Français, Optimisation, Rapport",NA,44
"rte international",1,NA,NA,"Artificial intelligence, Collaboration, Communication, Communication Skills, Git, NLP, Natural Language Processing, Optimization, Programmation, Programming, Project Management, PyTorch, Python, Team Collaboration, Version Control",NA,92
"saegus",7,NA,4,"Anglais, Azure, Excel, Français, Power BI, Python, SQL, Tableau, modélisation, équipe",60000,NA
"safilo",1,NA,NA,"Anglais, Collaboration, Database, Excel, Programmation, Prévision, Rigueur, Tableau, équipe",NA,92
"safran",23,"Industrie Aéronautique, Aérospatial",2.33333333333333,"équipe",NA,77
"saint gobain",2,NA,NA,"Anglais, Deep Learning, Français, Git, Python, Statistique, équipe",NA,92
"saint maclou",2,NA,NA,"Reporting, SQL, équipe",36000,59
"salomon",2,NA,NA,"Anglais, Autonome, Autonôme, Excel, équipe",NA,74
"sanofi",7,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"Excel, Git",NA,69
"satt sud est",1,NA,NA,"Deep Learning",40000,13
"saur",3,"Secteur Energie, Environnement",4,"Deep Learning",NA,75
"scalian",2,"Santé, Social, Association, Secteur informatique, ESN",7,"SQL, Tableau",42000,35
"scc",1,"Secteur informatique, ESN",7,"Collaboration, Git, équipe",NA,92
"schneider electric",5,NA,NA,"Communication",NA,6
"science me up",1,NA,NA,"Anglais, Communication, Curiosité, Python, équipe",NA,NA
"scor",2,NA,NA,"Deep Learning",NA,75
"segula technologies",4,"Industrie Auto, Meca, Navale",3.5,"Rapport, Tableau, équipe",NA,91
"sense4data",1,NA,NA,"Anglais, Communication, Excel, Français, Git, Programmation, Python, SQL, Statistique, modélisation, équipe",NA,33
"sephora",2,NA,NA,"Collaboration, Créativité, Excel, équipe",NA,45
"sept lieues",5,"Services aux Entreprises",7,"équipe",78000,75
"sercel",1,NA,NA,"Excel, Python, Statistique, équipe",NA,44
"serma technologies",1,NA,NA,"Collaboration, Curiosité, Python, modélisation, équipe",NA,33
"servier",1,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"Autonome, Autonôme, Communication, Excel, Git, Google Cloud, Optimisation, Prévision, équipe",NA,92
"seyos",11,"Secteur informatique, ESN",1,"Python, équipe",63636.3636363636,67
"sfr",6,"Industrie high-tech, Telecom",0,"Bases de donnée, Reporting, SQL, équipe",NA,75
"shift technology",2,NA,NA,"English, French, Statistics",NA,75
"shippeo",44,NA,NA,"Attention to Detail, Collaboration, Data Cleaning, English, Excel, French, Proactive, Reporting, Tableau",NA,75
"shopopop",1,"Services aux Personnes, Particuliers",1,"Git, Optimisation, Python, SQL, modélisation, équipe",42000,44
"shortways",1,NA,NA,"Anglais, Autonome, Autonôme, Git, Programmation, Python, Rapport, Reporting, Spark, Statistique, Tableau, équipe",NA,53
"showroomprive",1,"Média, Internet, Communication",0,"Curiosité, Python, Rigueur, SQL, Statistique, TensorFlow, modélisation, équipe",NA,93
"sia partners",2,"Services aux Entreprises",NA,"Anglais, C++, Excel, Français, Intelligence artificielle, Optimisation, Programmation, Prévision, Python, Statistique, équipe",NA,75
"siaci saint honore",2,NA,NA,"Bases de donnée, Intelligence artificielle, Programmation, Python, Statistique, équipe",NA,75
"siege de l'ap-hp",1,NA,NA,"Anglais, Base de donnée, Collaboration, Curiosité, Français, Git, Programmation, Python, Rapport, Rigueur, SQL, Statistique, équipe",NA,75
"sightengine",1,NA,NA,"PyTorch, Python, TensorFlow",NA,NA
"sii",25,"Secteur informatique, ESN",4.14285714285714,"équipe",43778.4,59
"silamir",1,NA,NA,"Rigueur, équipe",NA,75
"silkhom",3,"Services aux Entreprises",NA,"Power BI, SQL, équipe",45000,56
"sim&cure",1,NA,NA,"Deep Learning",NA,34
"siplec",1,NA,NA,"Excel, Français, Tableau, équipe",NA,94
"size up consulting",2,"Secteur informatique, ESN",7,"Gestion de Projets, équipe",NA,75
"skiils",14,NA,3,"équipe",69000,NA
"sncf",6,"Média, Internet, Communication, Transport, Logistique",NA,"Deep Learning, équipe",NA,75
"societe generale",7,NA,NA,"équipe",NA,92
"socomec",1,NA,NA,"Anglais, C++, Gestion de Projets, Intelligence artificielle, Statistique, équipe",NA,67
"sodebo",1,"Industrie Agro-alimentaire",1,"Statistique, équipe",NA,85
"sodexo",44,NA,NA,"Autonomous, Communication, Curious, English, Excel, Français, French, Power BI, Proactive",NA,92
"softeam",1,NA,NA,"Anglais, Communication, Intelligence artificielle, Programmation, Python, modélisation, équipe",NA,75
"sogeti",1,NA,NA,"Azure, Bases de donnée, Git, Power BI, Python, SQL, Statistique, modélisation, équipe",NA,31
"solutec",2,"Secteur informatique, ESN",NA,"Power BI, Python, Tableau, modélisation, équipe",NA,31
"somfy",3,"Industrie high-tech, Telecom",NA,"Anglais, Excel, Français, Git, équipe",NA,74
"sopra steria",44,"Secteur informatique, ESN",5.2,"équipe",NA,44
"sorare",1,NA,NA,"Communication, Communication Skills, Data Visualization, English, Excel, French, Python, SQL, Statistics, Tableau",NA,75
"soredab",2,"Industrie Agro-alimentaire",0,"Azure, Curiosité, Git, Optimisation, Python, SQL, équipe",NA,78
"soyhuce",2,NA,NA,"Deep Learning, Git, Python, SQL, Statistique, équipe",NA,75
"spare parts 3d",1,NA,NA,"Data Visualization, Database, Git, Power BI, Proactive, Programming, Python, SQL, Tableau, Version Control",NA,75
"sparteo",1,NA,NA,"Artificial intelligence, Autonomous, Collaboration, English, French, Python, SQL",NA,59
"sqli",1,"Secteur informatique, ESN",0,"AWS, Azure, Collaboration, SQL, modélisation, équipe",NA,76
"stages",3,"Services aux Entreprises",0.333333333333333,"équipe",1e+05,92
"stalaven",1,NA,NA,"Prévision, Python, équipe",NA,22
"stellantis",8,NA,NA,"Git",NA,78
"stereolabs",4,"Secteur informatique, ESN",NA,"Deep Learning, équipe",NA,75
"streem energy",1,NA,NA,"Deep Learning",NA,75
"suez",10,"Secteur Energie, Environnement",0,"Python",NA,78
"sully group",1,NA,NA,"Intelligence artificielle, Python, Tableau, équipe",NA,38
"suntory beverage & food france",1,NA,NA,"AWS, Anglais, Azure, Communication, Excel, Git, Optimisation, Power BI, Programmation, Python, Rapport, Serieux, Statistique, Tableau, équipe",70000,92
"symphonyai",1,NA,NA,"Deep Learning",NA,75
"synergie",1,NA,NA,"Collaboration, Curiosité, Français, Intelligence artificielle, NLP, Optimisation, Programmation, Python, Rigueur, SQL, Statistique, équipe",NA,59
"synopsia",1,NA,NA,"Anglais, Azure, NLP, Power BI, Programmation, Python, SQL, modélisation, équipe",55000,75
"systemathics",2,NA,NA,"Data Visualization, Python, data collection",NA,75
"systnaps",1,NA,NA,"Anglais, Base de donnée, Bases de donnée, Français, Git, Programmation, Rapport, Statistique, équipe",NA,94
"talan",46,"Secteur informatique, ESN",6.10344827586207,"équipe",NA,75
"talenteeds",1,NA,NA,"Artificial intelligence, Communication, Communication Skills, Excel, Git, Project Management, Reporting",NA,75
"tata consultancy services",7,NA,4,"Adaptability, Git, Programming, Project Management, SQL",NA,NA
"teads",1,NA,NA,"AWS, Artificial intelligence, Autonomous, Collaboration, Communication, Communication Skills, Creativity, Curious, Git, Optimization, Programming, Spark, Statistics",NA,34
"team is",6,"Secteur informatique, ESN",1,"équipe",75000,33
"tech riders",44,NA,NA,"Anglais, Autonome, Autonôme, Collaboration, Excel, Optimisation, Proactive, Rigueur, modélisation, équipe",NA,75
"terrena",1,NA,NA,"Bases de donnée, Reporting, Rigueur, Statistique, Tableau, équipe",NA,NA
"tf1",1,NA,NA,"Communication, Dataviz, Excel, Forecasting, Français, Git, Optimisation, Power BI, Programmation, Python, SQL, équipe",NA,75
"thales",6,NA,NA,"Communication, équipe",NA,92
"the information lab",1,NA,NA,"Anglais, Communication, Excel, Français, Git, Rigueur, Tableau, Team Player, équipe",60000,75
"the product crew",7,NA,NA,"Français",NA,NA
"tortoise",1,"Secteur informatique, ESN",NA,"Base de donnée, Intelligence artificielle, Programmation, Python, Rigueur, Statistique, équipe",NA,75
"totalenergies",6,NA,NA,"Anglais, Python, équipe",NA,92
"touton",1,NA,NA,"Anglais, Bases de donnée, Excel, Français, Power BI, Rapport, SQL, Visualisation de donnée, équipe",NA,33
"trsb",4,"Média, Internet, Communication, Distribution, Commerce de gros, Secteur informatique, ESN",7,"Anglais",NA,75
"tuanis it",2,"Secteur informatique, ESN",7,"Anglais, Hadoop, Optimisation, Power BI, Reporting, SQL, Spark, modélisation, équipe",NA,31
"twenty one talents",2,"Industrie high-tech, Telecom, Média, Internet, Communication",7,"Collaboration, Optimisation, équipe",65000,75
"u iris",2,"Secteur informatique, ESN",1,"Collaboration, Git, Intelligence artificielle, Python, SQL, modélisation, équipe",50000,44
"ubisoft",3,"Secteur informatique, ESN",0,"Python, Statistique, équipe",NA,75
"unibail-rodamco-westfield",2,"Immobilier",NA,"Collaboration, Communication, Excel, Git, Intelligence artificielle, Power BI, Proactif, Programmation, Python, Statistique, Tableau, équipe",NA,75
"united solutions",2,"Secteur informatique, ESN",1,"Optimisation, modélisation, équipe",50000,69
"universcience",1,NA,NA,"Base de donnée, Bases de donnée, Collaboration, Power BI, Programmation, Python, Reporting, Statistique, Tableau, équipe",48000,75
"universite de montpellier",1,NA,NA,"Autonome, Autonôme, Excel, Français, Rigueur, équipe",48660,34
"universite de nantes",1,NA,NA,"Anglais, Français, Rapport, équipe",NA,44
"unlck recrutement",4,"Services aux Entreprises, Secteur informatique, ESN",3.5,"SQL, équipe",59000,6
"uptoo",7,"Services aux Entreprises",NA,"Reporting",68571.4285714286,13
"utigroup",7,"Secteur informatique, ESN",7,"équipe",47428.5714285714,69
"utwin",1,NA,NA,"Autonome, Autonôme, Git, Optimisation, Programmation, Reporting, Statistique, Tableau, VBA, équipe",NA,69
"vaisala",1,NA,NA,"Autonomous, Database, English, Excel, French, Git, Python",NA,75
"valeo",4,"Industrie Auto, Meca, Navale",0,"Collaboration",NA,95
"valeuriad",1,NA,NA,"Git, Hadoop, Intelligence artificielle, NLP, PyTorch, Python, SQL, Spark, TensorFlow, modélisation, équipe",NA,44
"valoway",1,NA,NA,"AWS, Azure, Communication, Curiosité, Excel, Intelligence artificielle, NLP, Optimisation, Power BI, Prévision, Python, SQL, Spark, Tableau, modélisation, équipe",60000,44
"veepee",2,"Distribution, Commerce de gros",NA,"AWS, Dataviz, Git, NLP, PyTorch, Python, SQL, Spark, Statistique, Tableau, équipe",NA,75
"vente 2 site",1,NA,NA,"Autonome, Autonôme, Proactif, équipe",NA,94
"verisure",1,NA,NA,"Anglais, Azure, Excel, Power BI, Python, Rapport, SQL, Serieux, Tableau, équipe",NA,92
"vetoquinol",1,NA,NA,"Anglais, Excel, Français, SQL, Tableau, VBA, équipe",NA,70
"viatris",1,NA,NA,"Anglais, Excel, Power BI, Python, Rapport, SQL, Tableau, équipe",NA,69
"vif",2,"Industrie Agro-alimentaire, Secteur informatique, ESN",7,"Collaboration, équipe",NA,44
"vinci",6,NA,NA,"équipe",NA,92
"visian",7,NA,4,"Anglais, Bases de donnée, Python, SQL, Tableau",NA,NA
"visuary",1,NA,NA,"Autonomous, Proactive, PyTorch, Python",NA,75
"viveris.",5,"Secteur informatique, ESN",1,"équipe",50000,94
"volvo group",5,"Industrie Auto, Meca, Navale",NA,"Collaboration, Communication, Git, Python",NA,69
"waisso",1,NA,NA,"Anglais, Dataviz, Excel, Git, Tableau, équipe",NA,75
"walters people",1,"Distribution, Commerce de gros",1,"Collaboration, équipe",40000,95
"wanteeed",7,NA,4,"Autonome, Autonôme, Collaboration, Dataviz, R Studio, SQL, Statistique, équipe",55000,NA
"warner music france",7,NA,NA,"Anglais, Collaboration, Communication, Excel, Français, Git, Python, Rapport, SQL, Tableau, équipe",NA,NA
"wavestone",2,"Services aux Entreprises",0,"Git, Tableau, équipe",NA,75
"we it",1,"Média, Internet, Communication, Secteur informatique, ESN",1,"Français, French, Hadoop, Programmation, Rigueur, Spark",50000,NA
"wefox",1,NA,NA,"Collaboration, Database, English, Git, Python, SQL",NA,75
"wesmart",1,NA,NA,"Anglais, Azure, Communication, Excel, Français, Programmation, Python, Résolution de Problèmes, Spark, Statistique, collecte de données, modélisation, équipe",65000,75
"wewyse",2,"Média, Internet, Communication",2,"Anglais",NA,75
"withings",4,"Distribution, Commerce de gros",0,"Anglais, Communication, Deep Learning, French, Python, Rigueur, équipe",NA,92
"wivoo",16,NA,NA,"Anglais, Communication, Programmation, Python, SQL, équipe",NA,NA
"wizaly",1,NA,NA,"Bases de donnée, Git, Hadoop, Intelligence artificielle, Rigueur, SQL, Spark, équipe",NA,75
"wizville",7,NA,2,"Bases de donnée, Collaboration, Communication, Curiosité, Data Visualization, Programmation, Python, SQL, modélisation, équipe",55000,NA
"x-fab",44,NA,NA,"Collaboration, Communication, English, Excel, French, Statistics",NA,91
"xl catlin",1,NA,NA,"Collaboration, Communication, Communication Skills, Database, English, Excel, Reporting, Team Player",NA,75
"xpdeep",1,NA,NA,"Deep Learning",NA,38
"zoi",1,NA,NA,"AWS, Communication, English, Excel, French, Git, Presentation Skills, Python, Statistics",NA,75
