"entreprise","firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"Consept Ingenierie","Consept Ingenierie",1,"Secteur informatique, ESN",7,"",30,35
"Consort Group","Consort Group",2,"Secteur informatique, ESN",1,"Communication, Hadoop, Python, SQL, équipe",NA,33
"Consortia","Consortia",7,NA,NA,"Communication, Hadoop, Optimisation, SQL, Spark, modélisation, équipe",NA,NA
"Contexte","Contexte",7,NA,5,"Collaboration, Python, SQL, Statistique, Tableau, Visualisation de donnée, équipe",NA,NA
"Continental","Continental",2,NA,NA,"Communication, Communication Skills, Data Visualization, English, Excel, Git, Power BI, Programming, Python, Reporting, SQL, Statistics",NA,31
"Coperneec","Coperneec",2,NA,NA,"Deep Learning",NA,75
"Council of Europe Development Bank","Council of Europe Development Bank",1,NA,NA,"Attention to Detail, English, Excel, French, Power BI, Python, Reporting, SQL, Statistics, Tableau, data collection",NA,75
"Criteo","Criteo",2,"Média, Internet, Communication",NA,"Communication, Communication Skills, Excel, Python, Statistics",NA,75
"Crédit Agricole Assurances","Crédit Agricole Assurances",9,"Banque, Assurance, Finance",4,"équipe",NA,75
"Crédit Agricole CIB","Crédit Agricole CIB",1,"Banque, Assurance, Finance",0,"Deep Learning",NA,92
"Crédit Agricole Centre Loire","Crédit Agricole Centre Loire",1,"Banque, Assurance, Finance",0,"équipe",NA,45
"Crédit Agricole Champagne Bourgogne","Crédit Agricole Champagne Bourgogne",2,"Banque, Assurance, Finance",1,"Bases de donnée, Collaboration, modélisation, équipe",45,21
"Crédit Agricole Consumer Finance","Crédit Agricole Consumer Finance",8,NA,NA,"équipe",NA,91
"Crédit Agricole Group Infrastructure Plateform","Crédit Agricole Group Infrastructure Plateform",1,"Banque, Assurance, Finance",1,"équipe",NA,34
"Crédit Agricole S.A.","Crédit Agricole S.A.",1,NA,NA,"Anglais, Bases de donnée, Proactif, Python, Statistique, VBA, équipe",NA,92
"Crédit Agricole des régions du Centre","Crédit Agricole des régions du Centre",1,NA,NA,"Python, équipe",NA,45
"Crédit Agricole du Nord Est","Crédit Agricole du Nord Est",2,"BEP, CAP, Banque, Assurance, Finance",0,"Français, équipe",NA,51
"Cyllene","Cyllene",28,NA,4,"AWS, Azure, Python, SQL",45,NA
"D3S","D3S",1,NA,NA,"Deep Learning",50,38
"DATASCIENTEST","DATASCIENTEST",1,NA,NA,"AWS, Anglais, Azure, Collaboration, Dataviz, Git, équipe",NA,92
"DAVIDSON","DAVIDSON",1,NA,NA,"Curious, English, Excel, Natural Language Processing, Python, SQL",NA,92
"DAVRICOURT","DAVRICOURT",5,"Secteur informatique, ESN",NA,"équipe",NA,59
"DECIDEOM","DECIDEOM",1,NA,NA,"AWS, Azure, Base de donnée, Français, Power BI, Programmation, Python, SQL, Statistique, Tableau, équipe",40,59
"DECILIA","DECILIA",1,NA,NA,"Collaboration, Power BI, Programmation, Python, Reporting, SQL, Tableau, équipe",38,92
"DEMETER","DEMETER",1,"Services aux Entreprises",1,"Excel, Python, Spark, Statistique, modélisation",50,92
"DGTL Performance","DGTL Performance",2,"Secteur informatique, ESN",NA,"Autonomous, Azure, Curious, Database, English, Power BI, SQL",NA,78
"DIAMIDEX","DIAMIDEX",1,NA,NA,"Deep Learning",35,NA
"DIOT-SIACI","DIOT-SIACI",1,"Banque, Assurance, Finance",1,"Collaboration, Intelligence artificielle, Rapport, Reporting, équipe",50,75
"Dalkia","Dalkia",1,NA,NA,"Excel, Reporting, Rigueur, SQL, équipe",NA,49
"Danem People France","Danem People France",2,NA,NA,"Français, Git, Google Cloud, Python, SQL, Tableau, équipe",75,75
"Danone","Danone",5,"Industrie Agro-alimentaire",0,"Excel, équipe",NA,75
"Dassault Aviation","Dassault Aviation",1,NA,NA,"Anglais, Autonome, Autonôme, Bases de donnée, Français, Prévision, équipe",NA,NA
"Dassault Systèmes","Dassault Systèmes",11,NA,NA,"équipe",NA,78
"Data Recrutement","Data Recrutement",46,NA,NA,"Python, équipe",40,75
"DataKhi","DataKhi",1,NA,NA,"Power BI, Programmation, Python, Rapport, Reporting, SQL, Statistique, équipe",35,59
"DataScientest","DataScientest",2,NA,NA,"Deep Learning, Programmation",17.5,75
"Datadog","Datadog",3,NA,NA,"Collaboration, Creativity, Excel, Git",NA,75
"Dataiku","Dataiku",1,NA,NA,"AWS, Autonomous, Collaboration, Communication, Communication Skills, Curious, Git, Python",NA,75
"Datascientest","Datascientest",14,NA,1.5,"Python",36,NA
"Datawords","Datawords",1,"Secteur informatique, ESN",NA,"Git, Optimisation, Rapport, Reporting, Tableau, équipe",NA,92
"Davidson Consulting","Davidson Consulting",10,"Secteur informatique, ESN",1,"",34,35
"Deezer","Deezer",3,"Média, Internet, Communication",0,"Attention to Detail, Business Acumen, Data Visualization, English, French, SQL, Tableau",NA,75
"Deloitte","Deloitte",8,"Services aux Entreprises",0.333333333333333,"Anglais, Python, SQL, Statistique, équipe",NA,92
"Descartes Underwriting","Descartes Underwriting",11,"Banque, Assurance, Finance",0,"Communication, English, Excel",NA,75
"Devoteam","Devoteam",3,"Secteur informatique, ESN",NA,"Git, équipe",NA,92
"DialOnce","DialOnce",1,NA,NA,"Deep Learning",NA,75
"DigiDiz - Staff & Go","DigiDiz - Staff & Go",1,NA,NA,"Autonome, Autonôme, Collaboration, Créativité, Excel, Français, Git, Optimisation, Programmation, Prévision, Rapport, Statistique, collecte de données, équipe",NA,68
"Digiwide","Digiwide",1,NA,NA,"Anglais, Collaboration, Français, Git, Python, modélisation, équipe",NA,33
"Direction Générale de l'Armement","Direction Générale de l'Armement",1,NA,NA,"Communication, Python, Visualisation de donnée, équipe",NA,35
"Direction interministérielle du numérique (DINUM) – Service du Premier ministre","Direction interministérielle du numérique (DINUM) – Service du Premier ministre",7,NA,NA,"Bases de donnée, Git, Python, Rigueur, Spark, équipe",NA,NA
"Docaposte","Docaposte",4,"Secteur informatique, ESN",1,"Deep Learning, équipe",NA,69
"Docaret","Docaret",1,NA,NA,"Bases de donnée, Collaboration, Communication, Excel, Python, VBA",38,33
"Doctolib","Doctolib",2,NA,NA,"Collaboration, Deep Learning, English, NLP",NA,75
"Département de Saône-et-Loire","Département de Saône-et-Loire",1,NA,NA,"Collaboration, Communication, Excel, Français, Git, Programmation, Python, Rigueur, Statistique, Tableau, VBA, équipe",NA,NA
"Département du Val-de-Marne","Département du Val-de-Marne",1,NA,NA,"Bases de donnée",NA,NA
"E.Leclerc","E.Leclerc",1,NA,NA,"Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Optimisation, Proactif, Proactive, Python, R Studio, Rapport, SQL, Statistique, Tableau, équipe",NA,40
"EASY CASH","EASY CASH",1,NA,NA,"Curiosité, Git, Programmation, Python, Statistique, Tableau, équipe",NA,NA
"EASYVISTA","EASYVISTA",1,NA,NA,"Français, NLP, Programmation, Prévision, Python, Statistique, équipe",NA,38
"EDF","EDF",5,"Secteur Energie, Environnement",0,"équipe",NA,92
"EFFi GEMY","EFFi GEMY",2,NA,NA,"Python, Statistique, équipe",NA,NA
"ELAP","ELAP",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Programmation, Prévision, PyTorch, Python, Rigueur, TensorFlow, équipe",NA,75
"EMERTON GROUP","EMERTON GROUP",3,NA,NA,"AWS, Azure, Business Acumen, Communication, Communication Skills, English, Excel, French, Git, Google Cloud, Optimization, Programming, Python, SQL, Statistical Modeling, Statistics",NA,75
"ENDRESS & HAUSER France","ENDRESS & HAUSER France",1,NA,NA,"Français, Git, Optimisation, Power BI, Reporting, équipe",NA,68
"ENGIE","ENGIE",10,"Secteur Energie, Environnement",0,"Python",NA,92
"ENGIE Solutions","ENGIE Solutions",1,"Secteur Energie, Environnement",0,"Collaboration, Excel, Power BI, Reporting, Tableau, équipe",NA,93
"EURO-INFORMATION DEVELOPPEMENTS","EURO-INFORMATION DEVELOPPEMENTS",6,"Banque, Assurance, Finance",NA,"équipe",34,67
"EVS Professionnel","EVS Professionnel",1,NA,NA,"Bases de donnée, Collaboration, Excel, Git, Reporting, SQL, Statistique, Tableau, équipe",NA,69
"EXAKIS NELITE","EXAKIS NELITE",1,"Secteur informatique, ESN",1,"Azure, Curiosité, Power BI, équipe",NA,31
"EY","EY",7,"Secteur informatique, ESN",3.5,"Excel, Git, équipe",NA,92
"EasyVista","EasyVista",1,"Secteur informatique, ESN",0,"Français, NLP, Prévision, Python, Statistique, équipe",NA,38
"Edenred","Edenred",2,"Services aux Entreprises",NA,"Git",NA,92
"Edhec Business School","Edhec Business School",1,NA,NA,"Anglais, Communication, Excel, Intelligence artificielle, équipe",NA,59
"Edvance","Edvance",1,NA,NA,"Anglais, Base de donnée, Communication, Rigueur, équipe",NA,92
"Egis","Egis",1,NA,NA,"Anglais, Bases de donnée, Data Visualization, Git, Proactif, Rapport, Tableau, équipe",NA,69
"Ekimetrics","Ekimetrics",6,"Secteur informatique, ESN",0,"Créativité, Curiosité, Deep Learning, Excel, Git, Optimisation, équipe",NA,75
"Ekino France","Ekino France",1,NA,NA,"AWS, Anglais, Français, Hadoop, Programmation, Python, SQL, Spark, Statistique, Tableau, modélisation, équipe",NA,93
"Ekkiden","Ekkiden",2,"Secteur informatique, ESN",NA,"Autonome, Autonôme, Bases de donnée, Git, Google Cloud, Hadoop, SQL, Spark, équipe",NA,75
"Elis","Elis",1,NA,NA,"Anglais, Communication, Reporting, Tableau, équipe",NA,92
"Elsys Design","Elsys Design",1,NA,NA,"Base de donnée, Collaboration, Python, équipe",NA,35
"Endrix","Endrix",1,"BEP, CAP, Banque, Assurance, Finance",NA,"Collaboration, Communication, Optimisation, équipe",NA,69
"Enedis","Enedis",1,NA,NA,"Dataviz, Rapport, Tableau, équipe",NA,69
"Enterprise Digital Resources Ltd","Enterprise Digital Resources Ltd",1,NA,NA,"Anglais, Collaboration, Power BI, Python, SQL, équipe",NA,59
"Equancy","Equancy",1,NA,NA,"Deep Learning",NA,75
"Equans","Equans",5,"BTP, Secteur Energie, Environnement",1,"Git, équipe",45,69
"Equativ","Equativ",4,"Secteur informatique, ESN",NA,"Deep Learning, Excel, Python",NA,75
"Eramet","Eramet",1,NA,NA,"Anglais, Azure, Curiosité, Excel, Français, Gestion de Projets, Git, Python, Rapport, Rigueur, SQL, Statistique, TensorFlow, équipe",NA,78
"Ergoss Logiciels","Ergoss Logiciels",7,NA,NA,"Autonome, Autonôme, Programmation, Rapport, équipe",NA,NA
"Espace Freelance","Espace Freelance",1,NA,NA,"Python, SQL, Statistique, Tableau, Visualisation de donnée, équipe",NA,59
"Esprit RH","Esprit RH",1,"Services aux Entreprises",1,"Anglais, Optimisation, équipe",NA,31
"Eureden","Eureden",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Git, Programmation, Python, SQL, Statistique, Tableau, modélisation, équipe",NA,29
"Euro Information","Euro Information",2,NA,NA,"Anglais, Autonome, Autonôme, Deep Learning, Python, équipe",34.5,59
"Eurofins","Eurofins",2,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"Communication, Excel",NA,2
"Europcar Mobility Group","Europcar Mobility Group",2,"Transport, Logistique",NA,"Communication, Preprocessing, Reporting",NA,75
"European Camping Group","European Camping Group",1,NA,NA,"Anglais, Communication, Excel, Français, Git, Optimisation, Power BI, Programmation, Rapport, SQL, Statistique, Tableau, équipe",30,34
"Evaneos","Evaneos",13,NA,3,"Autonome, Autonôme, Excel, Git, Rapport, Tableau, équipe",NA,NA
"Eviden","Eviden",5,"Secteur informatique, ESN",7,"SQL",NA,33
"Evoteo Consulting","Evoteo Consulting",4,"Services aux Entreprises",1,"AWS, Python, Rapport, SQL, Spark, Tableau, équipe",41,69
"Excelcio","Excelcio",1,NA,NA,"Data Visualization, Excel, Power BI, Proactif, SQL, Tableau, équipe",NA,75
"Exotec","Exotec",4,"Industrie high-tech, Telecom",0,"Collaboration, Python",NA,59
"Expectra","Expectra",2,"Banque, Assurance, Finance",1,"Optimisation",40,44
"Expleo","Expleo",10,"Secteur informatique, ESN",7,"équipe",NA,31
"Externatic","Externatic",2,"Services aux Entreprises",1,"Rapport, Tableau, équipe",40,44
"Externatic recrutement","Externatic recrutement",1,"Services aux Entreprises",NA,"",NA,44
"Extia","Extia",12,"Secteur informatique, ESN",NA,"équipe",NA,34
"Eyetech Solutions","Eyetech Solutions",1,NA,NA,"AWS, Azure, Collaboration, Matplotlib, Prévision, Python, Seaborn, Statistique, Tableau, Visualisation de donnée, modélisation, équipe",45,75
"FABDEV","FABDEV",1,NA,NA,"AWS, Git, Google Cloud, Python, Seaborn, TensorFlow",NA,75
"FAREVA IT APPS","FAREVA IT APPS",2,"Industrie Manufacturière",7,"Reporting, collecte de données, équipe",NA,26
"FINDWAYS","FINDWAYS",1,NA,NA,"Base de donnée, Intelligence artificielle, Programmation, collecte de données, équipe",1,92
"FREE MOBILE","FREE MOBILE",1,NA,NA,"Bases de donnée, Communication, Prévision, Python, Rigueur, SQL, Tableau, équipe",40,34
"FREE RESEAU","FREE RESEAU",1,NA,NA,"Adaptabilité, Anglais, Base de donnée, Communication, Curiosité, Excel, Python, Rapport, Reporting, Rigueur, SQL, Statistique, Tableau, VBA, modélisation, équipe",NA,75
"FREE SAS","FREE SAS",1,NA,NA,"Collaboration, Communication, English, Excel, Optimisation, Python, Statistique, équipe",NA,75
"FREELANCEREPUBLIK","FREELANCEREPUBLIK",2,NA,NA,"Anglais, Spark, équipe",NA,59
"FRISBEE PROFILING","FRISBEE PROFILING",1,NA,NA,"Rapport, Reporting, Tableau, modélisation, équipe",400,92
"Fairly Made","Fairly Made",1,NA,3,"Autonome, Autonôme, Base de donnée, Git, Power BI, Proactif, Python, Rigueur, SQL, équipe",NA,NA
"Fidal","Fidal",1,"Secteur informatique, ESN",0,"Anglais, Communication, Curiosité, Git, Intelligence artificielle, Rigueur, équipe",NA,75
"Fiderim Deux Savoie","Fiderim Deux Savoie",1,"Services aux Entreprises",1,"Tableau",30,74
"Filhet-Allard","Filhet-Allard",1,NA,NA,"Optimisation, Reporting, Statistique, équipe",NA,NA
"Finance People","Finance People",1,"Services aux Entreprises",NA,"Excel, Power BI, Programmation, PyTorch, Python, Rapport, Statistique, TensorFlow, équipe",45,78
"FinancePeople","FinancePeople",1,NA,NA,"Excel, Power BI, Programmation, PyTorch, Python, Rapport, Statistique, TensorFlow, équipe",50,78
"Flyinstinct","Flyinstinct",1,NA,NA,"Anglais, Français, Intelligence artificielle, Python, Statistique, équipe",NA,75
"Fnac Darty","Fnac Darty",7,"Distribution, Commerce de gros",0,"Git",NA,94
"Fondation pour la Recherche Médicale","Fondation pour la Recherche Médicale",1,NA,NA,"Azure, Base de donnée, Bases de donnée, Communication, Curiosité, Excel, Français, Git, Power BI, Reporting, Rigueur, SQL, Statistique, équipe",NA,86
"Foodles","Foodles",1,NA,NA,"Collaboration, Communication, Git, Optimisation, Prévision, Python, équipe",NA,92
"Fortuneo","Fortuneo",1,"Banque, Assurance, Finance",NA,"AWS, équipe",NA,29
"Franfinance","Franfinance",1,NA,NA,"Bases de donnée, Français, Power BI, Programmation, Python, Reporting, Statistique",NA,92
"Française des Jeux","Française des Jeux",1,NA,NA,"Curiosité, Français, Git, Hadoop, Prévision, Python, Reporting, Rigueur, SQL, Spark, Statistique, modélisation, équipe",NA,92
"Free","Free",3,"Média, Internet, Communication",0,"équipe",NA,75
"Free2move","Free2move",1,NA,NA,"Autonome, Autonôme, Base de donnée, Bases de donnée, Collaboration, Excel, Git, Power BI, Python, SQL, Spark, Tableau, équipe",NA,75
"Fretbay","Fretbay",1,NA,NA,"Autonome, Autonôme, Base de donnée, C++, Communication, Curiosité, Excel, Git, Proactif, Programmation, Prévision, Python, Reporting, SQL, Statistique, équipe",NA,75
"Fédération Française de Rugby","Fédération Française de Rugby",1,NA,NA,"Bases de donnée, Français, Proactif, Programmation, Python, Reporting, Rigueur, Statistique, modélisation, équipe",35,91
"GALEC Services centraux","GALEC Services centraux",6,"Distribution, Commerce de gros",1,"équipe",NA,94
"GEMY Automobiles","GEMY Automobiles",2,NA,NA,"Python, Statistique, équipe",NA,NA
"GENERATION","GENERATION",1,NA,NA,"Excel, Python, Rapport, Statistique, Tableau, VBA, équipe",NA,29
"GERFLOR","GERFLOR",1,NA,NA,"Anglais, Base de donnée, Collaboration, Créativité, Excel, Français, Intelligence artificielle, Reporting, Rigueur, SQL, Statistique, équipe",NA,69
"GESER BEST","GESER BEST",1,NA,NA,"Anglais, Bases de donnée, C++, Dataviz, Power BI, Python, Reporting, Résolution de Problèmes, SQL, Statistique, équipe",28,33
"GIP PULSY","GIP PULSY",1,NA,NA,"Base de donnée, Bases de donnée, Communication, Programmation, Reporting, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",30,67
"GRESB","GRESB",1,NA,NA,"Collaboration, Database, English, Excel, Python, SQL",NA,75
"GROUPE ALPHA","GROUPE ALPHA",1,NA,NA,"Bases de donnée, Excel, Intelligence artificielle, Optimisation, Power BI, Python, Rapport, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",NA,75
"GROUPE BAYARD PRESSE","GROUPE BAYARD PRESSE",1,NA,NA,"Adaptabilité, Autonome, Autonôme, Git, Statistique, Tableau, équipe",NA,92
"GROUPE LIMAGRAIN","GROUPE LIMAGRAIN",1,NA,NA,"Anglais, Curiosité, Excel, Git, Proactive, Programmation, Prévision, PyTorch, Python, Rigueur, Statistique, modélisation, équipe",NA,63
"GROUPE PSA","GROUPE PSA",1,"Industrie Auto, Meca, Navale",0,"Collaboration, Communication, NLP, Python, collecte de données, équipe",NA,78
"GROUPEMENT D'INTERET PUBLIC PULSY","GROUPEMENT D'INTERET PUBLIC PULSY",1,NA,NA,"Base de donnée, Bases de donnée, Communication, Programmation, Reporting, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",NA,67
"Galec - Mouvement E.Leclerc","Galec - Mouvement E.Leclerc",28,NA,5.5,"équipe",NA,NA
"Galeries Lafayette","Galeries Lafayette",2,"Distribution, Commerce de gros",0,"Deep Learning, Intelligence artificielle, équipe",20,75
"Gameloft","Gameloft",2,"Secteur informatique, ESN",0,"Autonomous, Communication, English, Feature Engineering, French, Git, Matplotlib, Python, SQL, Seaborn, Team Player",NA,75
"Gan Assurances","Gan Assurances",1,NA,NA,"Collaboration, Créativité, Curiosité, Dataviz, Excel, Français, Python, Rigueur, SQL, Statistique, Tableau, équipe",NA,92
"Generali France","Generali France",6,NA,NA,"Python",NA,93
"Generali VIE","Generali VIE",2,"Banque, Assurance, Finance",0,"Dataviz, Git, Hadoop, Power BI, Python, Reporting, SQL, Tableau, modélisation",NA,93
"Geniem","Geniem",2,NA,NA,"Deep Learning",400,59
"Geodis","Geodis",1,"Transport, Logistique",1,"modélisation, équipe",NA,73
"Ghu Paris Psychiatrie et Neurosciences","Ghu Paris Psychiatrie et Neurosciences",1,NA,NA,"Anglais, Bases de donnée, Programmation, Python, SQL, Statistique, équipe",NA,75
"Grant Thornton","Grant Thornton",1,"Secteur informatique, ESN",0,"Python, SQL, équipe",NA,92
"Grant Thornton France","Grant Thornton France",3,NA,NA,"Anglais, Excel, Power BI, SQL, équipe",NA,92
"GroupAgora","GroupAgora",1,NA,NA,"Deep Learning",45,33
"GroupM","GroupM",1,"Média, Internet, Communication",NA,"Anglais, Base de donnée, Bases de donnée, Collaboration, Communication, Excel, Git, Optimisation, Power BI, Python, R Studio, Rapport, SQL, modélisation, équipe",NA,75
"Groupagora","Groupagora",6,"Secteur informatique, ESN",2.66666666666667,"Bases de donnée, Intelligence artificielle, Optimisation, Rapport, Reporting, Tableau, modélisation, équipe",45,64
"Groupama Asset Management","Groupama Asset Management",1,"Banque, Assurance, Finance",1,"Reporting",NA,75
"Groupama Assurances Mutuelles","Groupama Assurances Mutuelles",5,"Banque, Assurance, Finance",0,"modélisation, équipe",NA,75
"Groupama Centre Manche","Groupama Centre Manche",1,NA,NA,"Bases de donnée, Communication, Rigueur, Statistique, équipe",NA,72
"Groupama Gan Vie","Groupama Gan Vie",2,"Banque, Assurance, Finance",1,"Optimisation, équipe",50,92
"Groupama Rhône Alpes Auvergne","Groupama Rhône Alpes Auvergne",1,NA,NA,"Excel, Rigueur, SQL, Statistique, équipe",NA,69
"Groupama Supports et Services","Groupama Supports et Services",2,NA,NA,"Collaboration, équipe",NA,92
"Groupe ADP","Groupe ADP",4,"Transport, Logistique",0,"équipe",NA,94
"Groupe Alpha","Groupe Alpha",1,NA,NA,"Bases de donnée, Optimisation, Rapport, SQL, Tableau, modélisation, équipe",NA,75
"Groupe Aptenia","Groupe Aptenia",2,NA,NA,"Anglais, Deep Learning, Optimisation",475,75
"Groupe BPCE","Groupe BPCE",5,NA,NA,"SQL",NA,33
"Groupe Beaumanoir (Siège)","Groupe Beaumanoir (Siège)",1,NA,NA,"Autonome, Autonôme, Git, Prévision, Python, SQL, Spark, Statistique, Volonté d'Apprendre, modélisation, équipe",NA,35
"Groupe Créative","Groupe Créative",2,"Secteur informatique, ESN",1,"Git, Programming, Python, Reporting, SQL, Spark, équipe",40,59
"Groupe Demeter","Groupe Demeter",1,NA,NA,"Anglais, Excel, Français, Gestion du Temps, Git, Python, Spark, Statistique, modélisation, équipe",50,92
"Groupe Dubreuil","Groupe Dubreuil",2,"Distribution, Commerce de gros",0,"Deep Learning",NA,85
"Groupe Kering","Groupe Kering",4,NA,NA,"English, Excel",NA,75
"Groupe Le Duff","Groupe Le Duff",1,NA,NA,"Autonome, Autonôme, Azure, Git, Power BI, Python, SQL, Statistique, modélisation, équipe",NA,35
"Groupe M6","Groupe M6",1,NA,NA,"AWS, Collaboration, Git, Programmation, Python, R Studio, Rapport, SQL, Statistique, Tableau, équipe",NA,92
"Groupe OGF","Groupe OGF",2,"BEP, CAP, Services aux Personnes, Particuliers",NA,"Azure, Bases de donnée, Power BI, SQL, modélisation, équipe",52.5,13
"Groupe Ortec","Groupe Ortec",2,"Industrie Pétrolière, Pétrochimie, Secteur Energie, Environnement",0,"Bases de donnée, NLP, équipe",NA,92
"Groupe Roullier","Groupe Roullier",1,"Industrie Agro-alimentaire",0,"Optimisation, Reporting, équipe",NA,35
"Groupe SEB","Groupe SEB",1,"Distribution, Commerce de gros",0,"Autonome, Autonôme, Excel, Statistique, équipe",NA,53
"Groupe Seb","Groupe Seb",1,NA,NA,"Autonome, Autonôme, Excel, Statistique, équipe",NA,53
"Groupe VILAVI","Groupe VILAVI",1,"Banque, Assurance, Finance",1,"Git, Statistique, modélisation",NA,93
"Groupement Les Mousquetaires","Groupement Les Mousquetaires",4,"Distribution, Commerce de gros",0,"équipe",17,92
"Gueudet","Gueudet",1,NA,NA,"Bases de donnée, Git, SQL, Statistique, équipe",NA,80
"Gueudet 1880","Gueudet 1880",1,"Industrie Auto, Meca, Navale",NA,"",NA,80
"HIMYDATA","HIMYDATA",1,NA,NA,"Autonome, Autonôme, Base de donnée, Collaboration, Excel, Git, Matplotlib, Programmation, Python, SQL, Statistique, modélisation, équipe",NA,6
"HIPPY SAS - INDIENOV","HIPPY SAS - INDIENOV",1,NA,NA,"Anglais, Collaboration, Communication, Git, Hadoop, Intelligence artificielle, Python, SQL, Spark, équipe",NA,13
"HP","HP",1,NA,NA,"English, Excel, Forecasting, Power BI, Python, Reporting, SQL, Statistical Modeling",NA,38
"HR Team","HR Team",3,"Secteur informatique, ESN",1,"Python, Spark, équipe",37,44
"HSBC","HSBC",2,"Banque, Assurance, Finance",NA,"Anglais, Autonome, Autonôme, Excel, Python, SQL, équipe",NA,92
"Hager Group","Hager Group",1,NA,NA,"Anglais, Python, Rigueur, SQL, Statistique, Tableau",NA,33
"Hardis Group","Hardis Group",7,"Secteur informatique, ESN",4.2,"équipe",NA,38
"Harmonie Mutuelle","Harmonie Mutuelle",1,NA,NA,"Autonome, Autonôme, Communication, Excel, Git, Prévision, Résolution de Problèmes, SQL, Statistique, Tableau, modélisation, équipe",NA,35
"Harry Hope","Harry Hope",3,"Services aux Entreprises",1,"équipe",41.6666666666667,21
"Havas Group","Havas Group",2,"Média, Internet, Communication",7,"Bases de donnée, Excel, Rigueur, équipe",NA,92
